question_text,label,prompt_question_type,prompt_short_answer,prompt_multiple_choice,prompt_explain_classification,prompt_contextual_hint
What is photosynthesis?,Description,"What is the type of the following question? (Description, Entity, Abbreviation, Human, Location, Numeric) Question: What is photosynthesis?","Classify the question into one of these categories: Description, Entity, Abbreviation, Human, Location, Numeric. Question: What is photosynthesis?",Select the correct category: (A) Description (B) Entity (C) Abbreviation (D) Human (E) Location (F) Numeric. Question: What is photosynthesis?,Classify the question type and briefly explain your choice. Question: What is photosynthesis?,"Based on the question below, identify its category. Question: What is photosynthesis?"
Explain the process of evaporation.,Description,"What is the type of the following question? (Description, Entity, Abbreviation, Human, Location, Numeric) Question: Explain the process of evaporation.","Classify the question into one of these categories: Description, Entity, Abbreviation, Human, Location, Numeric. Question: Explain the process of evaporation.",Select the correct category: (A) Description (B) Entity (C) Abbreviation (D) Human (E) Location (F) Numeric. Question: Explain the process of evaporation.,Classify the question type and briefly explain your choice. Question: Explain the process of evaporation.,"Based on the question below, identify its category. Question: Explain the process of evaporation."
What does quantum mechanics study?,Description,"What is the type of the following question? (Description, Entity, Abbreviation, Human, Location, Numeric) Question: What does quantum mechanics study?","Classify the question into one of these categories: Description, Entity, Abbreviation, Human, Location, Numeric. Question: What does quantum mechanics study?",Select the correct category: (A) Description (B) Entity (C) Abbreviation (D) Human (E) Location (F) Numeric. Question: What does quantum mechanics study?,Classify the question type and briefly explain your choice. Question: What does quantum mechanics study?,"Based on the question below, identify its category. Question: What does quantum mechanics study?"
Describe the life cycle of a butterfly.,Description,"What is the type of the following question? (Description, Entity, Abbreviation, Human, Location, Numeric) Question: Describe the life cycle of a butterfly.","Classify the question into one of these categories: Description, Entity, Abbreviation, Human, Location, Numeric. Question: Describe the life cycle of a butterfly.",Select the correct category: (A) Description (B) Entity (C) Abbreviation (D) Human (E) Location (F) Numeric. Question: Describe the life cycle of a butterfly.,Classify the question type and briefly explain your choice. Question: Describe the life cycle of a butterfly.,"Based on the question below, identify its category. Question: Describe the life cycle of a butterfly."
What is the meaning of artificial intelligence?,Description,"What is the type of the following question? (Description, Entity, Abbreviation, Human, Location, Numeric) Question: What is the meaning of artificial intelligence?","Classify the question into one of these categories: Description, Entity, Abbreviation, Human, Location, Numeric. Question: What is the meaning of artificial intelligence?",Select the correct category: (A) Description (B) Entity (C) Abbreviation (D) Human (E) Location (F) Numeric. Question: What is the meaning of artificial intelligence?,Classify the question type and briefly explain your choice. Question: What is the meaning of artificial intelligence?,"Based on the question below, identify its category. Question: What is the meaning of artificial intelligence?"
What is the theory of relativity?,Description,"What is the type of the following question? (Description, Entity, Abbreviation, Human, Location, Numeric) Question: What is the theory of relativity?","Classify the question into one of these categories: Description, Entity, Abbreviation, Human, Location, Numeric. Question: What is the theory of relativity?",Select the correct category: (A) Description (B) Entity (C) Abbreviation (D) Human (E) Location (F) Numeric. Question: What is the theory of relativity?,Classify the question type and briefly explain your choice. Question: What is the theory of relativity?,"Based on the question below, identify its category. Question: What is the theory of relativity?"
What are black holes?,Description,"What is the type of the following question? (Description, Entity, Abbreviation, Human, Location, Numeric) Question: What are black holes?","Classify the question into one of these categories: Description, Entity, Abbreviation, Human, Location, Numeric. Question: What are black holes?",Select the correct category: (A) Description (B) Entity (C) Abbreviation (D) Human (E) Location (F) Numeric. Question: What are black holes?,Classify the question type and briefly explain your choice. Question: What are black holes?,"Based on the question below, identify its category. Question: What are black holes?"
Explain the concept of democracy.,Description,"What is the type of the following question? (Description, Entity, Abbreviation, Human, Location, Numeric) Question: Explain the concept of democracy.","Classify the question into one of these categories: Description, Entity, Abbreviation, Human, Location, Numeric. Question: Explain the concept of democracy.",Select the correct category: (A) Description (B) Entity (C) Abbreviation (D) Human (E) Location (F) Numeric. Question: Explain the concept of democracy.,Classify the question type and briefly explain your choice. Question: Explain the concept of democracy.,"Based on the question below, identify its category. Question: Explain the concept of democracy."
What does the term 'machine learning' mean?,Description,"What is the type of the following question? (Description, Entity, Abbreviation, Human, Location, Numeric) Question: What does the term 'machine learning' mean?","Classify the question into one of these categories: Description, Entity, Abbreviation, Human, Location, Numeric. Question: What does the term 'machine learning' mean?",Select the correct category: (A) Description (B) Entity (C) Abbreviation (D) Human (E) Location (F) Numeric. Question: What does the term 'machine learning' mean?,Classify the question type and briefly explain your choice. Question: What does the term 'machine learning' mean?,"Based on the question below, identify its category. Question: What does the term 'machine learning' mean?"
What is global warming?,Description,"What is the type of the following question? (Description, Entity, Abbreviation, Human, Location, Numeric) Question: What is global warming?","Classify the question into one of these categories: Description, Entity, Abbreviation, Human, Location, Numeric. Question: What is global warming?",Select the correct category: (A) Description (B) Entity (C) Abbreviation (D) Human (E) Location (F) Numeric. Question: What is global warming?,Classify the question type and briefly explain your choice. Question: What is global warming?,"Based on the question below, identify its category. Question: What is global warming?"
